bananas_ranking,username,bananas,total_breaks
1,kerckhoffs,224.03,46
2,Idefix,160.15,32
3,BlackBox,48.39,38
4,rod,17.24,19
5,bluecat,2.02,14
6,BugsBunny,0.01,12
7,Malcolm Carter,0.00,1
8,jibe,0.00,13
9,CryptoMonkey,0.00,11
9,Sarkoxed,0.00,4
9,joe,0.00,5
9,lefootlefoot,0.00,3
9,nxmq,0.00,6
9,Locomotive,0.00,7
9,Mystiz_,0.00,3
9,frxmwtnwyleicfawbn,0.00,8
9,greencroc007A,0.00,4
9,coderspace,0.00,18
9,Second,0.00,2
9,zeski,0.00,2
9,Cryptanalyse,0.00,6
9,Anonymous,0.00,10
9,Sth,0.00,8
9,patator,0.00,13
